"","id","risq","NBCAV","SEXE","DATE_EER","AGE","tranche_age","PNB"
"1",32289606,1,0.5,"M",1981-06-01,63,"60-64 ans",162.640774611988
"2",32289658,1,1,"M",1981-10-01,90,"80 ans et +",306.205905536263
"3",32289659,1,0.5,"M",1971-05-01,65,"65-69 ans",464.699419440244
"4",32289662,0,0,"M",1990-02-01,34,"30-34 ans",15.2609540166508
"5",32289663,NA,NA,"F",1973-07-01,79,"75-79 ans",18.3381045518283
"6",32289664,1,1,"F",1981-07-01,50,"50-54 ans",3323.57618269818
"7",32289666,5,1.45833333333333,"M",1980-06-01,56,"55-59 ans",761.269089516262
"8",32289669,0,NA,"F",1995-10-01,35,"35-39 ans",1.90239955369358
"9",32289671,0,1,"F",1988-06-01,73,"70-74 ans",20.8780876781554
"10",32289674,1,1,"F",1993-08-01,34,"30-34 ans",803.178718572143
"11",32289675,1,1,"F",1974-08-01,82,"80 ans et +",295.901972014425
"12",32289678,1,0.5,"M",1981-10-01,66,"65-69 ans",547.41900135527
"13",32289679,1,0.5,"M",1974-11-01,58,"55-59 ans",445.820474425347
"14",32289680,0,NA,"M",1981-05-01,63,"60-64 ans",53.9037357273405
"15",32289682,1,1,"M",1968-03-01,85,"80 ans et +",1130.71322494207
"16",32289683,0,1,"M",1977-02-01,55,"55-59 ans",707.883501167591
"17",32289688,1,1.66666666666667,"M",1993-08-01,35,"35-39 ans",1038.79999575745
"18",32289693,1,1,"M",1988-06-01,53,"50-54 ans",479.961134271395
"19",32289695,1,1,"M",1983-09-01,53,"50-54 ans",374.814786987813
"20",32289697,1,1,"F",1979-08-01,91,"80 ans et +",167.835179035374
"21",32289698,5,1,"F",1993-08-01,36,"35-39 ans",957.158891206038
"22",32289699,1,1,"M",1978-04-01,69,"65-69 ans",2553.03081953025
"23",32289700,1,1,"F",1986-10-01,65,"65-69 ans",1310.38123758638
"24",32289703,0,0.5,"F",1997-03-01,32,"30-34 ans",191.872381357085
"25",32289704,0,NA,"M",1981-10-01,64,"60-64 ans",75.3659408802853
"26",32289708,0,0.5,"F",1993-03-01,56,"55-59 ans",253.929414334598
"27",32289710,2,1,"F",1991-07-01,57,"55-59 ans",352.802419549221
"28",32289711,0,0.5,"F",1981-03-01,96,"80 ans et +",6.15653619573139
"29",32289712,0,NA,"F",1992-09-01,83,"80 ans et +",1814.47755535698
"30",32289713,1,2.5,"M",1987-09-01,42,"40-44 ans",12246.0371487142
"31",32289714,1,0.5,"M",1969-05-01,84,"80 ans et +",47.0049484268977
"32",32289717,1,1,"F",1974-09-01,75,"75-79 ans",463.156050002431
"33",32289720,1,1,"M",1988-07-18,42,"40-44 ans",621.385025818601
"34",32289721,1,0.625,"M",1994-09-01,38,"35-39 ans",592.803657614921
"35",32289722,1,1,"F",1988-02-01,45,"45-49 ans",774.677316969005
"36",32289723,1,0.5,"F",1972-12-01,83,"80 ans et +",689.146403839267
"37",32289724,1,1,"F",1989-12-01,43,"40-44 ans",408.62522618549
"38",32289726,0,0.0833333333333333,"F",1997-02-01,89,"80 ans et +",28.3653677088967
"39",32289728,1,1,"M",1960-05-01,90,"80 ans et +",2456.60173894728
"40",32289730,0,NA,"F",1992-02-01,44,"40-44 ans",26.8487515
"41",32289741,1,0.5,"M",1972-08-01,84,"80 ans et +",155.572264128368
"42",32289742,1,0.5,"M",1975-07-01,85,"80 ans et +",105.558944127184
"43",32289743,1,1,"M",1979-08-01,61,"60-64 ans",208.363622780607
"44",32289744,1,1,"F",1993-09-01,67,"65-69 ans",554.008466283319
"45",32289748,0,1.5,"M",1987-10-29,82,"80 ans et +",267.62018574431
"46",32289750,1,2.5,"M",1981-06-01,49,"45-49 ans",2981.2999847312
"47",32289753,1,1.5,"M",1993-08-01,69,"65-69 ans",5313.16123387856
"48",32289758,1,1,"F",1973-06-01,67,"65-69 ans",1325.26235556258
"49",32289761,1,1,"M",1989-08-01,50,"50-54 ans",95.9990387164181
"50",32289763,1,1,"M",1996-11-01,30,"30-34 ans",215.851230434145
"51",32289764,1,1,"M",1990-03-01,83,"80 ans et +",408.323225036799
"52",32289769,NA,NA,"F",1993-07-01,38,"35-39 ans",198.173531832158
"53",32289770,1,1,"F",1972-01-01,79,"75-79 ans",1146.87522068207
"54",32289773,1,1,"F",1963-09-01,87,"80 ans et +",136.933638132771
"55",32289774,1,0.5,"F",1980-01-01,70,"70-74 ans",888.128680387308
"56",32289775,1,0.5,"M",1982-11-01,77,"75-79 ans",276.317016029947
"57",32289776,1,1,"F",1990-06-01,78,"75-79 ans",190.04581370659
"58",32289777,1,1,"M",1987-04-01,50,"50-54 ans",2483.57891541632
"59",32289779,1,1,"M",1997-08-01,32,"30-34 ans",6.941415505485
"60",32289784,1,1,"F",1980-04-01,84,"80 ans et +",228.931028529892
"61",32289785,1,0.5,"F",1991-09-01,77,"75-79 ans",279.912673659414
"62",32289789,0,0.5,"F",1980-04-01,68,"65-69 ans",239.617673817391
"63",32289791,1,0.5,"M",1991-08-01,59,"55-59 ans",262.774322578546
"64",32289794,NA,NA,"M",1987-10-01,61,"60-64 ans",512.75205582
"65",32289795,1,1,"F",1991-01-01,76,"75-79 ans",67.6806235407556
"66",32289798,1,0.5,"F",1978-12-01,64,"60-64 ans",102.565283027475
"67",32289799,1,0.5,"F",1987-01-01,63,"60-64 ans",91.8154920632039
"68",32289800,NA,0.458333333333333,"F",1969-12-01,86,"80 ans et +",145.490459929946
"69",32289801,1,1,"F",1981-06-01,53,"50-54 ans",55.0656792108285
"70",32289802,0,0.333333333333333,"M",1997-02-01,52,"50-54 ans",332.996825901127
"71",32289803,0,NA,"M",1994-06-01,48,"45-49 ans",0.5972800792917
"72",32289804,0,0.5,"M",1989-12-01,42,"40-44 ans",119.957724360262
"73",32289807,2,0.5,"M",1988-01-01,48,"45-49 ans",223.697915754763
"74",32289808,1,0.5,"M",1972-12-01,62,"60-64 ans",288.474063803834
"75",32289809,1,0.708333333333333,"F",1992-12-01,91,"80 ans et +",3813.77404039166
"76",32289810,0,1,"M",1982-04-01,52,"50-54 ans",350.449282025516
"77",32289812,4,0.5,"F",1984-01-23,69,"65-69 ans",1507.50300021205
"78",32289813,1,0.5,"M",1968-07-01,85,"80 ans et +",293.517021209545
"79",32289814,0,1,"M",1988-02-01,48,"45-49 ans",672.519030808773
"80",32289816,1,0.5,"M",1980-05-01,62,"60-64 ans",183.024288580519
"81",32289817,1,1,"M",1997-01-01,27,"25-27 ans",224.71523061894
"82",32289818,NA,0,"M",1977-10-01,99,"80 ans et +",33.2416692476
"83",32289819,1,0.5,"M",1971-02-01,67,"65-69 ans",142.751650628204
"84",32289822,1,1,"M",1995-09-01,33,"30-34 ans",270.697967355169
"85",32289824,1,0.5,"F",1987-09-01,56,"55-59 ans",410.880099282422
"86",32289827,0,NA,"M",1975-10-01,70,"70-74 ans",409.595366300148
"87",32289830,1,0.5,"M",1998-04-06,35,"35-39 ans",977.842602596073
"88",32289831,1,1,"F",1993-08-01,32,"30-34 ans",1349.15887078462
"89",32289832,1,0.5,"F",1972-04-01,73,"70-74 ans",473.099660831002
"90",32289833,NA,0.416666666666667,"M",1989-09-01,51,"50-54 ans",1729.35007912372
"91",32289834,0,0.5,"F",1987-05-01,41,"40-44 ans",49.5934764146196
"92",32289836,0,NA,"M",1991-04-01,60,"60-64 ans",42.2326003722055
"93",32289837,1,1,"F",1983-10-01,85,"80 ans et +",2311.86000397516
"94",32289838,0,0.5,"M",1996-10-01,54,"50-54 ans",476.59821495686
"95",32289840,0,1,"M",1982-01-01,75,"75-79 ans",534.252745951455
"96",32289843,1,0.5,"F",1955-01-01,83,"80 ans et +",811.556922762503
"97",32289846,NA,0,"F",1995-09-01,64,"60-64 ans",35.1642588978283
"98",32289847,1,0.5,"F",1982-12-01,46,"45-49 ans",888.886921757797
"99",32289850,1,1.54583333333333,"F",1971-08-01,72,"70-74 ans",490.110107253733
"100",32289852,NA,0.833333333333333,"M",1988-07-01,39,"35-39 ans",21.7537845246024
"101",32289854,1,0.5,"F",1986-09-01,51,"50-54 ans",872.425894772585
"102",32289855,1,0.5,"M",1988-07-01,66,"65-69 ans",77.1941572608765
"103",32289856,NA,0,"M",1990-02-01,38,"35-39 ans",4.79245269
"104",32289857,1,1,"F",1965-03-01,88,"80 ans et +",4700.76469481619
"105",32289859,1,0.5,"M",1991-09-01,54,"50-54 ans",298.089266086932
"106",32289860,1,1,"F",1995-05-01,44,"40-44 ans",508.376510848581
"107",32289862,1,0.5,"M",1982-12-01,72,"70-74 ans",203.310672137799
"108",32289864,1,0.5,"F",1979-09-01,78,"75-79 ans",2464.43212019231
"109",32289870,1,1,"F",1950-10-01,89,"80 ans et +",1308.51880048755
"110",32289871,0,2,"F",1991-02-01,36,"35-39 ans",424.056737559955
"111",32289873,1,0.5,"M",1966-11-01,66,"65-69 ans",673.347039668608
"112",32289874,0,0.75,"F",1996-05-01,30,"30-34 ans",176.413003413664
"113",32289877,0,NA,"F",1997-10-01,66,"65-69 ans",52.6790938719487
"114",32289879,1,0.5,"M",1973-07-01,60,"60-64 ans",97.9148369576462
"115",32289880,1,0.5,"M",1996-06-01,65,"65-69 ans",145.888759246478
"116",32289884,1,1,"F",1979-12-01,68,"65-69 ans",27.0368304012384
"117",32289885,1,1,"M",1988-12-01,83,"80 ans et +",279.733582989463
"118",32289887,1,1,"F",1996-11-01,50,"50-54 ans",696.324797562874
"119",32289888,1,2,"F",1978-02-01,69,"65-69 ans",1445.17316930344
"120",32289898,1,0.5,"F",1990-07-01,46,"45-49 ans",136.649868987726
"121",32289901,NA,NA,"F",1966-07-01,89,"80 ans et +",6.45183249490001
"122",32289902,1,1,"F",1963-08-01,88,"80 ans et +",51.4765489602713
"123",32289903,0,1,"M",1944-07-01,79,"75-79 ans",217.395195448582
"124",32289905,1,0.5,"F",1978-08-01,76,"75-79 ans",272.523212879265
"125",32289906,0,0,"F",1994-09-01,65,"65-69 ans",0.152378468613767
"126",32289912,1,1.5,"F",1988-05-01,42,"40-44 ans",1149.16785452854
"127",32289913,1,0.5,"F",1989-01-01,43,"40-44 ans",390.330107670223
"128",32289914,1,1,"M",1988-09-27,41,"40-44 ans",1067.349058033
"129",32289916,1,0.5,"F",1982-06-01,71,"70-74 ans",137.957519074781
"130",32289918,1,1,"M",1996-06-01,83,"80 ans et +",150.154116532265
"131",32289920,1,1,"M",1985-08-08,78,"75-79 ans",331.054909872056
"132",32289921,0,2.5,"F",1988-07-01,33,"30-34 ans",1912.86705952456
"133",32289923,1,1,"F",1985-08-08,49,"45-49 ans",654.658577158379
"134",32289924,1,1.5,"M",1983-10-01,60,"60-64 ans",433.450679014171
"135",32289925,2,0.5,"F",1991-01-01,52,"50-54 ans",127.716778565195
"136",32289927,1,0.5,"F",1990-09-01,43,"40-44 ans",186.996034416901
"137",32289930,2,0.5,"F",1980-01-01,52,"50-54 ans",544.310989535922
"138",32289932,1,0.5,"F",1985-12-01,66,"65-69 ans",9.45888586214129
"139",32289933,0,NA,"F",1987-06-01,78,"75-79 ans",13.1469058737838
"140",32289935,1,1,"F",1967-04-01,79,"75-79 ans",563.150001732697
"141",32289936,0,1,"F",1900-01-01,71,"70-74 ans",8196.04490244059
"142",32289937,1,1,"F",1979-10-01,71,"70-74 ans",286.911657425398
"143",32289941,0,2,"M",1988-07-01,30,"30-34 ans",637.021572987798
"144",32289942,1,0.5,"M",1965-03-01,79,"75-79 ans",350.644358636276
"145",32289943,0,1,"F",1957-11-01,74,"70-74 ans",294.895505648488
"146",32289945,1,0.5,"F",1979-06-01,75,"75-79 ans",357.561709279475
"147",32289946,1,0.5,"F",1989-03-01,73,"70-74 ans",206.747443042182
"148",32289947,1,1,"F",1994-10-01,54,"50-54 ans",1981.1973066043
"149",32289948,1,0.5,"M",1971-09-01,61,"60-64 ans",1036.45887491393
"150",32289949,1,1,"F",1981-10-01,65,"65-69 ans",2191.0755859133
"151",32289950,1,1.5,"F",1993-12-01,71,"70-74 ans",4565.74053661219
"152",32289954,1,1.5,"M",1982-09-01,76,"75-79 ans",3935.7786121635
"153",32289959,1,0.75,"M",1973-02-01,59,"55-59 ans",367.061699139338
"154",32289960,1,0.5,"F",1982-05-01,50,"50-54 ans",172.039114156697
"155",32289961,1,1,"F",1987-08-01,66,"65-69 ans",91.1642007052305
"156",32289965,1,1,"M",1985-06-01,45,"45-49 ans",2074.73139197068
"157",32289966,1,1,"M",1973-11-01,62,"60-64 ans",58.5747846985478
"158",32289969,1,0.5,"M",1978-12-01,51,"50-54 ans",469.627569462545
"159",32289971,1,1,"F",1979-03-01,75,"75-79 ans",221.858265194848
"160",32289978,1,1,"F",1984-12-01,82,"80 ans et +",407.958030838555
"161",32289980,1,1,"F",1996-12-01,39,"35-39 ans",18.5275302726589
"162",32289981,1,1,"F",1994-11-01,27,"25-27 ans",87.0636615143642
